t    f(t)
begin
0.00303888585  16.68683721382806
0.0030444414  16.97181727176116
0.00304999695  12.521144702113972
0.0030555524999999997  12.987945143002602
0.0030611080499999997  23.03436027451113
0.0030666635999999996  23.321661176255784
0.00307221915  23.64224496154258
0.0030777747  23.948685969026602
0.00308333025  24.220521221036538
0.0030888858  24.500621731835746
0.0030944413499999998  24.72714175667591
0.0030999968999999997  16.49654173005832
0.0031055524499999996  17.20487683742394
0.003111108  17.822786086564644
0.00311666355  23.66504457482343
0.0031222191  24.115215684763832
0.00312777465  24.814630323332565
0.0031333301999999998  28.37807248389349
0.0031388857499999997  28.66255783558281
0.0031444412999999997  28.91597123567406
0.00314999685  29.222659059931924
0.0031555524  29.596700835111154
0.00316110795  29.950761285189632
0.0031666635  27.41941105062736
0.00317221905  27.812127265001525
0.0031777745999999997  28.083556004590466
0.0031833301499999997  28.40326839551646
0.0031888856999999996  23.73764925895438
0.00319444125  24.338586223336286
0.0031999968  32.02263236133058
0.00320555235  32.20210331467395
0.0032111079  32.74119879867068
0.0032166634499999998  33.01001980245263
0.0032222189999999997  33.34346321471082
0.0032277745499999996  33.33278962246902
0.0032333301  33.45781930162137
0.00323888565  27.010037232375723
0.0032444412  27.383392322919434
0.00324999675  32.6817622509436
0.0032555522999999998  33.13142292207618
0.0032611078499999997  33.44705684952166
0.0032666633999999996  34.38537417011697
0.00327221895  35.4073833939253
0.0032777745  35.436484464030734
0.00328333005  35.53940819304893
0.0032888856  35.43312437290588
0.00329444115  35.29641896268197
0.0032999966999999997  35.23534223285601
0.0033055522499999997  34.50403513025044
0.0033111077999999996  34.83261135620214
0.00331666335  35.20057901574202
0.0033222189  35.52568122794981
0.00332777445  31.33909930658
0.00333333  31.770226261465005
0.0033388855499999997  36.56170013820223
0.0033444410999999997  36.535474311044275
0.0033499966499999996  36.6422302339653
0.0033555522  36.8450559187439
0.00336110775  37.0920685583407
0.0033666633  37.211743380439984
0.00337221885  37.28090209398615
0.0033777743999999998  37.10960036461808
0.0033833299499999997  34.18749593780937
0.0033888854999999996  38.85405747238344
0.00339444105  39.13035723727236
0.0033999966  39.57667665613083
0.00340555215  39.93461590296243
0.0034111077  39.081361667895
0.0034166632499999998  39.158700397848236
0.0034222187999999997  39.274468682307614
0.0034277743499999997  39.396750951547745
0.0034333298999999996  39.36036772538833
0.00343888545  39.993458384229754
0.003444441  41.70341938078608
0.00344999655  42.057254884088266
0.0034555521  42.593607447930765
0.0034611076499999997  43.008077753719064
0.0034666631999999997  43.50781079740213
0.0034722187499999996  39.8866548012475
0.0034777743  42.23471310067462
0.00348332985  42.48894982293222
0.0034888854  42.53643153789549
0.00349444095  42.91110816133878
0.0034999964999999997  43.09722632289125
0.0035055520499999997  43.27352012425847
0.0035111075999999996  43.35242087349611
0.00351666315  43.48187442228314
0.0035222187  42.561417789913826
0.00352777425  47.03031641731741
0.0035333298  47.52477235660123
0.0035388853499999998  47.8237376715477
0.0035444408999999997  47.83023348450203
0.0035499964499999996  44.856084945084156
0.003555552  44.945232865765064
0.00356110755  45.0239761857233
0.0035666631  45.20191882631687
0.00357221865  45.3719465283169
0.0035777741999999998  45.504137099263495
0.0035833297499999997  49.76278801607664
0.0035888852999999997  50.145738919635896
0.0035944408499999996  50.49024309343583
0.0035999964  50.70934913435914
0.00360555195  50.45319503947204
0.0036111075  45.9506828233228
0.00361666305  46.115727173010896
0.0036222185999999997  46.28131884559769
0.0036277741499999997  46.32472669748287
0.0036333296999999996  46.40535565275136
0.00363888525  46.38343102767953
0.0036444408  46.3242757857119
0.00364999635  46.48591240637606
0.0036555519  46.91135868694752
0.0036611074499999998  51.32292515757575
0.0036666629999999997  51.57560924056064
0.0036722185499999996  51.768727907229305
0.0036777741  52.0258796662456
0.00368332965  52.19437213935812
0.0036888852  46.28444902997694
0.00369444075  46.30833495790394
0.0036999962999999998  46.44364155825
0.0037055518499999997  46.62813835758846
0.0037111073999999997  46.885267693579124
0.0037166629499999996  45.913235130198345
0.0037222185  52.620889347268395
0.00372777405  52.92857383304816
0.0037333296  53.39663066597528
0.00373888515  53.79638631881201
0.0037444406999999997  54.075497384599615
0.0037499962499999997  47.02769880312445
0.0037555517999999996  47.26703521318179
0.00376110735  47.526398840213275
0.0037666629  48.103691343548775
0.00377221845  46.6514090986382
0.003777774  46.90463245222507
0.0037833295499999997  46.98115516979973
0.0037888850999999997  47.240923607122575
0.0037944406499999996  47.52915518396116
0.0037999962  56.078568914222366
0.00380555175  56.454908213325716
0.0038111073  57.01971111886653
0.00381666285  57.577191975505656
0.0038222183999999998  58.68844818463414
0.0038277739499999997  48.438982964621594
0.0038333294999999996  48.78678848254659
0.0038388850499999996  48.9638308382177
0.0038444406  49.23574352503212
0.00384999615  49.579535339182925
0.0038555517  49.994510046882446
0.0038611072499999998  59.87943736289953
0.0038666627999999997  59.965831007697275
0.0038722183499999997  60.363551106537905
0.0038777738999999996  60.785059229144764
0.00388332945  59.69305074553229
0.003888885  56.85135084973009
0.00389444055  49.95279218538373
0.0038999961  50.22465765689748
0.0039055516499999997  50.43614433252704
0.0039111072  50.52898188930479
0.00391666275  50.78975716853426
0.0039222182999999996  51.1014768290388
0.00392777385  51.40347858571053
0.0039333293999999994  51.740912390527704
0.00393888495  58.722606381402514
0.0039444405  62.64515984169212
0.00394999605  63.14115438189451
0.0039555516  63.63609734667192
0.00396110715  64.06493756132961
0.0039666627  52.85745059483987
0.0039722182499999995  53.00754712389305
0.0039777738  53.34886793322628
0.00398332935  53.69677346204356
0.0039888849  54.09585754074869
0.00399444045  53.29738292997947
0.003999996  65.97584488385029
0.00400555155  66.32091196457681
0.0040111070999999995  66.66240018547965
0.00401666265  66.79480216121516
0.004022218199999999  66.9878647149578
0.00402777375  63.13956418858178
0.0040333293  54.84387508775544
0.00403888485  55.172768277754344
0.0040444404  55.63046284515996
0.0040499959499999995  54.53198662073098
0.0040555515  54.556354838524136
0.004061107049999999  54.80087298660669
0.0040666626  55.054817957527355
0.00407221815  55.3004565210251
0.0040777737  64.50074594309736
0.00408332925  69.19091864939953
0.0040888847999999995  69.37876950665222
0.00409444035  69.5708469684553
0.004099995899999999  69.80675217316366
0.00410555145  54.61087862599022
0.004111107  54.55581793172476
0.00411666255  54.58483939038382
0.0041222181  54.6926194632151
0.0041277736499999995  54.684187576066705
0.0041333292  54.86605648775073
0.004138884749999999  69.47631459239493
0.0041444403  69.93597137528035
0.00414999585  70.34784473576975
0.0041555514  70.78509276204694
0.00416110695  64.44547446165608
0.0041666624999999995  64.62345061069006
0.00417221805  54.55641088970972
0.004177773599999999  54.786180779774114
0.00418332915  54.9936070959645
0.0041888847  55.15111138198665
0.00419444025  55.19964636005777
0.0041999958  55.35118438824719
0.0042055513499999995  55.46241619365998
0.0042111069  67.13055485858315
0.004216662449999999  64.34983599361836
0.004222218  69.25519281313275
0.00422777355  69.63616224168716
0.0042333291  69.90319973396075
0.00423888465  70.06523670012572
0.0042444401999999996  54.214426167182026
0.00424999575  54.064579161906785
0.0042555512999999994  53.99136480997398
0.00426110685  53.959023754741146
0.004266662399999999  54.285291115003396
0.00427221795  52.05523392208798
0.0042777735  68.93124464056652
0.00428332905  69.09614914222395
0.0042888846  69.47475695350222
0.0042944401499999995  69.8290939652287
0.0042999957  65.7814667048869
0.004305551249999999  66.07598103453955
0.0043111068  53.67725254656471
0.00431666235  53.964983004405795
0.0043222179  54.892855691731675
0.00432777345  52.12286246470272
0.0043333289999999995  52.5641473386219
0.00433888455  52.807571169831995
0.004344440099999999  53.212773359603275
0.00434999565  67.28011110744144
0.0043555512  68.03763458612589
0.00436110675  68.52662584149022
0.0043666623  73.07721278216837
0.0043722178499999995  73.5795451314416
0.0043777734  74.60854681257743
0.004383328949999999  54.258598058287276
0.0043888845  54.784547988810715
0.00439444005  54.993173944710215
0.0043999956  55.371803835782494
0.00440555115  55.69712653741066
0.0044111066999999995  56.212381619161256
0.00441666225  74.86143237456574
0.004422217799999999  74.680300952404
0.00442777335  74.98005289427881
0.0044333289  75.79876936996169
0.00443888445  70.87223801668895
0.00444444  71.22961964011432
0.0044499955499999995  56.302462787824396
